last_available_date,city,last_available_confirmed,ESPVIDA,FECTOT,RAZDEP,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF25A29,T_ATRASO_0_MED,T_ATRASO_1_BASICO,T_ATRASO_2_MED,T_FBBAS,T_FBMED,T_FBPRE,T_FBSUPER,T_FLBAS,T_FREQ0A3,T_FREQ11A14,T_FREQ15A17,T_FREQ18A24,T_FREQ25A29,T_FREQ4A5,T_FREQ6,T_FREQFUND1517,T_FREQFUND1824,T_FREQFUND45,T_FREQMED1824,T_FREQMED614,T_FREQSUPER1517,T_FUND11A13,T_FUND18A24,CORTE4,GINI,PIND,PRENTRAB,RIND,CPR,EMP,P_COM,P_CONSTR,P_EXTR,P_SERV,P_SIUP,P_TRANSF,T_ATIV,T_ATIV1014,T_DES,T_DES1014,T_DES1517,THEILtrab,TRABPUB,TRABSC,T_AGUA,T_DENS,T_LIXO,T_LUZ,PAREDE,T_M10A14CF,T_M15A17CF,T_MULCHEFEFIF014,T_OCUPDESLOC_1,T_RMAXIDOSO,HOMEM75A79,pesoRUR
2020-03-28,MACAÍBA,1,72.04,2.37,50.84,6.76,9.31,8.53,10.73,63.66,18.85,12.74,107.58,64.05,69.77,12.08,89.38,21.68,96.46,84.39,27.31,13.63,91.76,98.06,42.02,5.68,19.64,9.68,2.1,0.0,85.31,64.4,483.33,0.5,8.6,68.79,34.13,20.67,0.95,13.68,11.09,0.56,36.0,0.98,15.26,51.74,5.81,11.73,14.66,32.62,0.29,4.11,23.06,86.5,34.12,95.16,99.29,1.08,0.27,8.12,21.41,2.65,3.7,349.0,26836.0
2020-03-28,MONTE ALEGRE,1,71.18,2.58,56.32,8.03,9.29,11.43,14.95,59.14,20.96,8.09,106.78,68.9,60.75,10.08,90.01,32.42,97.67,81.94,29.36,11.58,94.25,96.92,33.06,7.26,21.48,10.96,0.57,0.0,86.93,51.36,408.0,0.52,15.17,63.21,28.84,25.6,1.46,14.63,8.13,0.15,33.8,0.0,6.2,41.44,4.07,11.44,14.08,7.58,0.4,7.19,28.43,92.77,36.76,95.68,99.72,0.57,1.05,5.4,23.93,1.21,5.29,144.0,11683.0
2020-03-28,MOSSORÓ,16,73.64,1.95,42.87,6.33,9.97,4.54,5.73,70.95,19.13,6.55,107.26,83.94,68.45,34.04,88.36,32.51,96.94,84.0,35.33,16.91,92.81,97.72,26.72,3.19,26.17,9.05,2.57,2.1,87.18,76.98,733.33,0.52,3.72,79.4,33.58,20.93,1.95,19.72,9.78,4.5,43.71,0.76,8.52,55.37,3.93,10.88,36.28,36.45,0.44,4.55,17.42,92.76,27.37,97.94,99.57,1.23,0.22,5.92,12.89,0.43,2.26,1103.0,22574.0
2020-03-28,NATAL,34,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-03-28,PARNAMIRIM,9,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
2020-03-28,PASSA E FICA,1,70.79,2.12,53.77,9.68,9.24,10.05,16.79,72.71,19.49,1.88,104.83,66.38,44.63,10.52,87.63,25.78,94.56,77.8,27.1,11.77,97.52,100.0,32.69,8.01,14.89,9.34,1.58,0.0,83.14,56.87,400.0,0.51,19.59,54.5,39.39,23.73,1.26,9.33,6.14,0.0,32.2,0.9,5.71,50.13,9.93,11.76,24.66,30.55,0.44,4.89,40.62,87.26,34.75,99.03,98.64,1.83,0.0,4.25,18.02,0.64,6.88,86.0,4345.0
2020-03-28,SÃO GONÇALO DO AMARANTE,1,74.72,2.03,48.44,5.28,9.18,7.0,6.19,66.93,20.32,7.14,102.86,58.17,83.45,14.25,84.62,20.4,95.05,82.1,31.54,16.88,83.56,93.86,34.61,5.74,19.51,8.93,1.57,0.32,80.82,67.0,523.33,0.44,6.05,74.93,33.13,15.77,0.48,16.27,10.45,1.08,41.46,1.03,19.27,52.09,2.79,12.38,25.55,36.86,0.2,5.37,19.65,97.0,34.71,92.35,99.63,1.3,0.0,6.28,20.76,2.19,3.57,330.0,13569.0
2020-03-28,SÃO JOSÉ DE MIPIBU,1,69.86,2.55,56.3,7.23,9.01,10.6,10.81,72.91,18.61,14.09,106.7,60.7,65.88,11.67,86.1,21.75,94.11,81.39,27.48,14.98,89.03,97.85,38.64,8.01,21.66,9.56,1.86,0.47,79.87,53.83,450.0,0.55,17.32,63.93,34.61,21.94,0.72,13.3,8.96,0.19,36.85,1.17,9.47,44.31,4.9,11.48,17.88,38.08,0.38,5.09,34.68,77.09,39.6,96.28,98.93,4.22,0.6,9.56,22.44,2.22,5.19,223.0,21544.0
2020-03-28,TIBAU,1,71.13,1.89,46.68,6.67,9.61,7.36,11.26,51.8,21.23,21.02,102.44,62.74,73.42,14.0,90.45,32.05,97.15,87.53,22.65,6.56,96.11,100.0,43.32,1.07,17.94,10.78,0.52,1.87,83.38,66.7,457.6,0.55,10.19,67.28,34.63,22.2,2.31,13.45,10.04,0.31,49.62,0.78,2.55,51.76,2.78,7.22,0.0,8.16,0.41,8.2,35.04,88.82,36.67,93.15,98.78,3.37,0.0,3.06,19.9,0.41,4.47,24.0,852.0
2020-03-30,APODI,1,69.79,1.73,43.94,8.1,9.58,5.11,9.41,74.52,19.54,12.63,108.66,85.96,73.06,26.65,89.18,27.48,96.24,83.74,37.47,13.65,96.4,100.0,32.14,3.54,21.51,14.17,2.32,4.28,89.17,70.78,440.0,0.55,13.98,67.22,32.92,28.19,1.21,12.81,8.27,0.61,36.84,0.84,7.62,51.01,7.36,9.98,24.52,16.01,0.57,4.62,29.84,71.44,18.05,99.78,98.98,1.66,2.63,3.15,11.04,0.98,4.94,234.0,17232.0
2020-03-30,AÇU,1,72.69,2.47,48.04,6.99,9.72,5.9,10.38,67.79,20.14,9.28,102.66,76.16,78.98,14.69,90.16,23.99,97.85,84.37,24.0,9.87,95.32,96.36,33.63,4.68,17.94,7.68,2.54,0.35,83.41,61.25,510.0,0.53,7.68,71.21,35.5,26.74,1.85,18.16,8.48,1.22,36.27,1.52,9.32,52.06,5.54,10.3,14.3,17.64,0.47,4.25,28.02,88.83,25.66,99.47,98.65,7.32,0.0,5.51,17.91,1.27,3.65,241.0,13868.0
2020-03-30,CAICÓ,2,74.45,1.5,44.44,8.82,9.97,2.85,5.34,75.5,18.15,7.52,107.11,84.64,63.39,28.58,89.9,32.03,97.66,82.42,30.74,13.88,93.22,95.59,25.47,2.83,32.24,9.91,2.05,2.16,89.6,71.55,702.0,0.56,3.69,72.58,39.71,27.28,2.59,20.57,5.36,0.35,45.0,1.28,14.14,57.69,6.84,6.95,15.84,12.33,0.53,8.43,27.3,93.35,22.66,94.12,99.46,0.43,0.0,4.37,10.12,0.28,3.35,346.0,5248.0
2020-03-30,CARNAUBAIS,1,69.25,2.5,50.14,7.64,8.82,8.26,10.63,74.22,21.52,6.16,108.31,69.22,67.22,10.51,90.02,32.22,97.37,81.62,29.67,13.48,89.21,95.33,51.48,6.24,22.1,11.34,0.8,0.0,75.03,61.39,373.33,0.52,16.41,64.08,32.65,24.63,0.44,9.77,7.34,1.67,35.09,0.88,4.43,47.73,4.28,15.2,0.0,6.76,0.4,6.26,29.0,87.53,33.68,92.09,97.63,18.5,1.51,13.69,18.66,1.98,6.67,56.0,5005.0
2020-03-30,LUÍS GOMES,1,71.56,2.57,56.97,9.2,9.82,6.63,13.36,71.15,15.25,15.05,109.61,74.68,52.68,13.04,93.54,48.64,98.62,87.23,22.89,8.45,95.55,100.0,41.69,5.05,24.09,8.57,2.83,1.71,86.24,59.39,322.0,0.55,26.91,46.53,31.6,22.22,0.27,8.88,7.09,0.0,45.36,1.01,5.27,33.67,4.67,14.08,51.71,31.22,0.54,4.69,40.06,85.0,42.23,97.69,99.47,0.0,2.22,7.48,19.64,1.89,8.37,66.0,2924.0
2020-03-30,MACAÍBA,1,72.04,2.37,50.84,6.76,9.31,8.53,10.73,63.66,18.85,12.74,107.58,64.05,69.77,12.08,89.38,21.68,96.46,84.39,27.31,13.63,91.76,98.06,42.02,5.68,19.64,9.68,2.1,0.0,85.31,64.4,483.33,0.5,8.6,68.79,34.13,20.67,0.95,13.68,11.09,0.56,36.0,0.98,15.26,51.74,5.81,11.73,14.66,32.62,0.29,4.11,23.06,86.5,34.12,95.16,99.29,1.08,0.27,8.12,21.41,2.65,3.7,349.0,26836.0
2020-03-30,MONTE ALEGRE,1,71.18,2.58,56.32,8.03,9.29,11.43,14.95,59.14,20.96,8.09,106.78,68.9,60.75,10.08,90.01,32.42,97.67,81.94,29.36,11.58,94.25,96.92,33.06,7.26,21.48,10.96,0.57,0.0,86.93,51.36,408.0,0.52,15.17,63.21,28.84,25.6,1.46,14.63,8.13,0.15,33.8,0.0,6.2,41.44,4.07,11.44,14.08,7.58,0.4,7.19,28.43,92.77,36.76,95.68,99.72,0.57,1.05,5.4,23.93,1.21,5.29,144.0,11683.0
2020-03-30,MOSSORÓ,16,73.64,1.95,42.87,6.33,9.97,4.54,5.73,70.95,19.13,6.55,107.26,83.94,68.45,34.04,88.36,32.51,96.94,84.0,35.33,16.91,92.81,97.72,26.72,3.19,26.17,9.05,2.57,2.1,87.18,76.98,733.33,0.52,3.72,79.4,33.58,20.93,1.95,19.72,9.78,4.5,43.71,0.76,8.52,55.37,3.93,10.88,36.28,36.45,0.44,4.55,17.42,92.76,27.37,97.94,99.57,1.23,0.22,5.92,12.89,0.43,2.26,1103.0,22574.0
2020-03-30,NATAL,36,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-03-30,PARNAMIRIM,10,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
2020-03-30,PASSA E FICA,1,70.79,2.12,53.77,9.68,9.24,10.05,16.79,72.71,19.49,1.88,104.83,66.38,44.63,10.52,87.63,25.78,94.56,77.8,27.1,11.77,97.52,100.0,32.69,8.01,14.89,9.34,1.58,0.0,83.14,56.87,400.0,0.51,19.59,54.5,39.39,23.73,1.26,9.33,6.14,0.0,32.2,0.9,5.71,50.13,9.93,11.76,24.66,30.55,0.44,4.89,40.62,87.26,34.75,99.03,98.64,1.83,0.0,4.25,18.02,0.64,6.88,86.0,4345.0
2020-03-30,SÃO GONÇALO DO AMARANTE,2,74.72,2.03,48.44,5.28,9.18,7.0,6.19,66.93,20.32,7.14,102.86,58.17,83.45,14.25,84.62,20.4,95.05,82.1,31.54,16.88,83.56,93.86,34.61,5.74,19.51,8.93,1.57,0.32,80.82,67.0,523.33,0.44,6.05,74.93,33.13,15.77,0.48,16.27,10.45,1.08,41.46,1.03,19.27,52.09,2.79,12.38,25.55,36.86,0.2,5.37,19.65,97.0,34.71,92.35,99.63,1.3,0.0,6.28,20.76,2.19,3.57,330.0,13569.0
2020-03-30,SÃO JOSÉ DE MIPIBU,1,69.86,2.55,56.3,7.23,9.01,10.6,10.81,72.91,18.61,14.09,106.7,60.7,65.88,11.67,86.1,21.75,94.11,81.39,27.48,14.98,89.03,97.85,38.64,8.01,21.66,9.56,1.86,0.47,79.87,53.83,450.0,0.55,17.32,63.93,34.61,21.94,0.72,13.3,8.96,0.19,36.85,1.17,9.47,44.31,4.9,11.48,17.88,38.08,0.38,5.09,34.68,77.09,39.6,96.28,98.93,4.22,0.6,9.56,22.44,2.22,5.19,223.0,21544.0
2020-03-30,TIBAU,1,71.13,1.89,46.68,6.67,9.61,7.36,11.26,51.8,21.23,21.02,102.44,62.74,73.42,14.0,90.45,32.05,97.15,87.53,22.65,6.56,96.11,100.0,43.32,1.07,17.94,10.78,0.52,1.87,83.38,66.7,457.6,0.55,10.19,67.28,34.63,22.2,2.31,13.45,10.04,0.31,49.62,0.78,2.55,51.76,2.78,7.22,0.0,8.16,0.41,8.2,35.04,88.82,36.67,93.15,98.78,3.37,0.0,3.06,19.9,0.41,4.47,24.0,852.0
2020-03-31,APODI,1,69.79,1.73,43.94,8.1,9.58,5.11,9.41,74.52,19.54,12.63,108.66,85.96,73.06,26.65,89.18,27.48,96.24,83.74,37.47,13.65,96.4,100.0,32.14,3.54,21.51,14.17,2.32,4.28,89.17,70.78,440.0,0.55,13.98,67.22,32.92,28.19,1.21,12.81,8.27,0.61,36.84,0.84,7.62,51.01,7.36,9.98,24.52,16.01,0.57,4.62,29.84,71.44,18.05,99.78,98.98,1.66,2.63,3.15,11.04,0.98,4.94,234.0,17232.0
2020-03-31,AÇU,1,72.69,2.47,48.04,6.99,9.72,5.9,10.38,67.79,20.14,9.28,102.66,76.16,78.98,14.69,90.16,23.99,97.85,84.37,24.0,9.87,95.32,96.36,33.63,4.68,17.94,7.68,2.54,0.35,83.41,61.25,510.0,0.53,7.68,71.21,35.5,26.74,1.85,18.16,8.48,1.22,36.27,1.52,9.32,52.06,5.54,10.3,14.3,17.64,0.47,4.25,28.02,88.83,25.66,99.47,98.65,7.32,0.0,5.51,17.91,1.27,3.65,241.0,13868.0
2020-03-31,CAICÓ,1,74.45,1.5,44.44,8.82,9.97,2.85,5.34,75.5,18.15,7.52,107.11,84.64,63.39,28.58,89.9,32.03,97.66,82.42,30.74,13.88,93.22,95.59,25.47,2.83,32.24,9.91,2.05,2.16,89.6,71.55,702.0,0.56,3.69,72.58,39.71,27.28,2.59,20.57,5.36,0.35,45.0,1.28,14.14,57.69,6.84,6.95,15.84,12.33,0.53,8.43,27.3,93.35,22.66,94.12,99.46,0.43,0.0,4.37,10.12,0.28,3.35,346.0,5248.0
2020-03-31,CARNAUBAIS,1,69.25,2.5,50.14,7.64,8.82,8.26,10.63,74.22,21.52,6.16,108.31,69.22,67.22,10.51,90.02,32.22,97.37,81.62,29.67,13.48,89.21,95.33,51.48,6.24,22.1,11.34,0.8,0.0,75.03,61.39,373.33,0.52,16.41,64.08,32.65,24.63,0.44,9.77,7.34,1.67,35.09,0.88,4.43,47.73,4.28,15.2,0.0,6.76,0.4,6.26,29.0,87.53,33.68,92.09,97.63,18.5,1.51,13.69,18.66,1.98,6.67,56.0,5005.0
2020-03-31,LUÍS GOMES,1,71.56,2.57,56.97,9.2,9.82,6.63,13.36,71.15,15.25,15.05,109.61,74.68,52.68,13.04,93.54,48.64,98.62,87.23,22.89,8.45,95.55,100.0,41.69,5.05,24.09,8.57,2.83,1.71,86.24,59.39,322.0,0.55,26.91,46.53,31.6,22.22,0.27,8.88,7.09,0.0,45.36,1.01,5.27,33.67,4.67,14.08,51.71,31.22,0.54,4.69,40.06,85.0,42.23,97.69,99.47,0.0,2.22,7.48,19.64,1.89,8.37,66.0,2924.0
2020-03-31,MACAÍBA,1,72.04,2.37,50.84,6.76,9.31,8.53,10.73,63.66,18.85,12.74,107.58,64.05,69.77,12.08,89.38,21.68,96.46,84.39,27.31,13.63,91.76,98.06,42.02,5.68,19.64,9.68,2.1,0.0,85.31,64.4,483.33,0.5,8.6,68.79,34.13,20.67,0.95,13.68,11.09,0.56,36.0,0.98,15.26,51.74,5.81,11.73,14.66,32.62,0.29,4.11,23.06,86.5,34.12,95.16,99.29,1.08,0.27,8.12,21.41,2.65,3.7,349.0,26836.0
2020-03-31,MONTE ALEGRE,1,71.18,2.58,56.32,8.03,9.29,11.43,14.95,59.14,20.96,8.09,106.78,68.9,60.75,10.08,90.01,32.42,97.67,81.94,29.36,11.58,94.25,96.92,33.06,7.26,21.48,10.96,0.57,0.0,86.93,51.36,408.0,0.52,15.17,63.21,28.84,25.6,1.46,14.63,8.13,0.15,33.8,0.0,6.2,41.44,4.07,11.44,14.08,7.58,0.4,7.19,28.43,92.77,36.76,95.68,99.72,0.57,1.05,5.4,23.93,1.21,5.29,144.0,11683.0
2020-03-31,MOSSORÓ,17,73.64,1.95,42.87,6.33,9.97,4.54,5.73,70.95,19.13,6.55,107.26,83.94,68.45,34.04,88.36,32.51,96.94,84.0,35.33,16.91,92.81,97.72,26.72,3.19,26.17,9.05,2.57,2.1,87.18,76.98,733.33,0.52,3.72,79.4,33.58,20.93,1.95,19.72,9.78,4.5,43.71,0.76,8.52,55.37,3.93,10.88,36.28,36.45,0.44,4.55,17.42,92.76,27.37,97.94,99.57,1.23,0.22,5.92,12.89,0.43,2.26,1103.0,22574.0
2020-03-31,NATAL,42,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-03-31,PARNAMIRIM,10,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
2020-03-31,PASSA E FICA,1,70.79,2.12,53.77,9.68,9.24,10.05,16.79,72.71,19.49,1.88,104.83,66.38,44.63,10.52,87.63,25.78,94.56,77.8,27.1,11.77,97.52,100.0,32.69,8.01,14.89,9.34,1.58,0.0,83.14,56.87,400.0,0.51,19.59,54.5,39.39,23.73,1.26,9.33,6.14,0.0,32.2,0.9,5.71,50.13,9.93,11.76,24.66,30.55,0.44,4.89,40.62,87.26,34.75,99.03,98.64,1.83,0.0,4.25,18.02,0.64,6.88,86.0,4345.0
2020-03-31,SÃO GONÇALO DO AMARANTE,1,74.72,2.03,48.44,5.28,9.18,7.0,6.19,66.93,20.32,7.14,102.86,58.17,83.45,14.25,84.62,20.4,95.05,82.1,31.54,16.88,83.56,93.86,34.61,5.74,19.51,8.93,1.57,0.32,80.82,67.0,523.33,0.44,6.05,74.93,33.13,15.77,0.48,16.27,10.45,1.08,41.46,1.03,19.27,52.09,2.79,12.38,25.55,36.86,0.2,5.37,19.65,97.0,34.71,92.35,99.63,1.3,0.0,6.28,20.76,2.19,3.57,330.0,13569.0
2020-03-31,SÃO JOSÉ DE MIPIBU,1,69.86,2.55,56.3,7.23,9.01,10.6,10.81,72.91,18.61,14.09,106.7,60.7,65.88,11.67,86.1,21.75,94.11,81.39,27.48,14.98,89.03,97.85,38.64,8.01,21.66,9.56,1.86,0.47,79.87,53.83,450.0,0.55,17.32,63.93,34.61,21.94,0.72,13.3,8.96,0.19,36.85,1.17,9.47,44.31,4.9,11.48,17.88,38.08,0.38,5.09,34.68,77.09,39.6,96.28,98.93,4.22,0.6,9.56,22.44,2.22,5.19,223.0,21544.0
2020-03-31,TIBAU,1,71.13,1.89,46.68,6.67,9.61,7.36,11.26,51.8,21.23,21.02,102.44,62.74,73.42,14.0,90.45,32.05,97.15,87.53,22.65,6.56,96.11,100.0,43.32,1.07,17.94,10.78,0.52,1.87,83.38,66.7,457.6,0.55,10.19,67.28,34.63,22.2,2.31,13.45,10.04,0.31,49.62,0.78,2.55,51.76,2.78,7.22,0.0,8.16,0.41,8.2,35.04,88.82,36.67,93.15,98.78,3.37,0.0,3.06,19.9,0.41,4.47,24.0,852.0
2020-04-01,APODI,1,69.79,1.73,43.94,8.1,9.58,5.11,9.41,74.52,19.54,12.63,108.66,85.96,73.06,26.65,89.18,27.48,96.24,83.74,37.47,13.65,96.4,100.0,32.14,3.54,21.51,14.17,2.32,4.28,89.17,70.78,440.0,0.55,13.98,67.22,32.92,28.19,1.21,12.81,8.27,0.61,36.84,0.84,7.62,51.01,7.36,9.98,24.52,16.01,0.57,4.62,29.84,71.44,18.05,99.78,98.98,1.66,2.63,3.15,11.04,0.98,4.94,234.0,17232.0
2020-04-01,AÇU,1,72.69,2.47,48.04,6.99,9.72,5.9,10.38,67.79,20.14,9.28,102.66,76.16,78.98,14.69,90.16,23.99,97.85,84.37,24.0,9.87,95.32,96.36,33.63,4.68,17.94,7.68,2.54,0.35,83.41,61.25,510.0,0.53,7.68,71.21,35.5,26.74,1.85,18.16,8.48,1.22,36.27,1.52,9.32,52.06,5.54,10.3,14.3,17.64,0.47,4.25,28.02,88.83,25.66,99.47,98.65,7.32,0.0,5.51,17.91,1.27,3.65,241.0,13868.0
2020-04-01,CARNAUBAIS,1,69.25,2.5,50.14,7.64,8.82,8.26,10.63,74.22,21.52,6.16,108.31,69.22,67.22,10.51,90.02,32.22,97.37,81.62,29.67,13.48,89.21,95.33,51.48,6.24,22.1,11.34,0.8,0.0,75.03,61.39,373.33,0.52,16.41,64.08,32.65,24.63,0.44,9.77,7.34,1.67,35.09,0.88,4.43,47.73,4.28,15.2,0.0,6.76,0.4,6.26,29.0,87.53,33.68,92.09,97.63,18.5,1.51,13.69,18.66,1.98,6.67,56.0,5005.0
2020-04-01,CEARÁ-MIRIM,1,71.44,2.45,55.23,6.96,8.75,9.72,10.24,58.26,20.57,14.78,100.19,55.2,65.09,15.32,87.01,18.7,94.43,82.69,27.95,12.99,82.46,95.56,39.62,5.28,18.23,7.69,1.74,0.53,76.18,57.73,447.5,0.51,12.12,67.5,26.86,20.03,1.16,15.98,10.08,0.28,39.44,1.42,11.48,45.38,6.77,13.11,32.5,30.08,0.3,4.12,25.04,81.18,40.25,98.05,99.44,2.18,0.27,7.79,36.83,2.73,5.09,325.0,32647.0
2020-04-01,LUÍS GOMES,1,71.56,2.57,56.97,9.2,9.82,6.63,13.36,71.15,15.25,15.05,109.61,74.68,52.68,13.04,93.54,48.64,98.62,87.23,22.89,8.45,95.55,100.0,41.69,5.05,24.09,8.57,2.83,1.71,86.24,59.39,322.0,0.55,26.91,46.53,31.6,22.22,0.27,8.88,7.09,0.0,45.36,1.01,5.27,33.67,4.67,14.08,51.71,31.22,0.54,4.69,40.06,85.0,42.23,97.69,99.47,0.0,2.22,7.48,19.64,1.89,8.37,66.0,2924.0
2020-04-01,MACAÍBA,1,72.04,2.37,50.84,6.76,9.31,8.53,10.73,63.66,18.85,12.74,107.58,64.05,69.77,12.08,89.38,21.68,96.46,84.39,27.31,13.63,91.76,98.06,42.02,5.68,19.64,9.68,2.1,0.0,85.31,64.4,483.33,0.5,8.6,68.79,34.13,20.67,0.95,13.68,11.09,0.56,36.0,0.98,15.26,51.74,5.81,11.73,14.66,32.62,0.29,4.11,23.06,86.5,34.12,95.16,99.29,1.08,0.27,8.12,21.41,2.65,3.7,349.0,26836.0
2020-04-01,MONTE ALEGRE,1,71.18,2.58,56.32,8.03,9.29,11.43,14.95,59.14,20.96,8.09,106.78,68.9,60.75,10.08,90.01,32.42,97.67,81.94,29.36,11.58,94.25,96.92,33.06,7.26,21.48,10.96,0.57,0.0,86.93,51.36,408.0,0.52,15.17,63.21,28.84,25.6,1.46,14.63,8.13,0.15,33.8,0.0,6.2,41.44,4.07,11.44,14.08,7.58,0.4,7.19,28.43,92.77,36.76,95.68,99.72,0.57,1.05,5.4,23.93,1.21,5.29,144.0,11683.0
2020-04-01,MOSSORÓ,20,73.64,1.95,42.87,6.33,9.97,4.54,5.73,70.95,19.13,6.55,107.26,83.94,68.45,34.04,88.36,32.51,96.94,84.0,35.33,16.91,92.81,97.72,26.72,3.19,26.17,9.05,2.57,2.1,87.18,76.98,733.33,0.52,3.72,79.4,33.58,20.93,1.95,19.72,9.78,4.5,43.71,0.76,8.52,55.37,3.93,10.88,36.28,36.45,0.44,4.55,17.42,92.76,27.37,97.94,99.57,1.23,0.22,5.92,12.89,0.43,2.26,1103.0,22574.0
2020-04-01,NATAL,48,75.08,1.58,40.87,7.02,9.85,4.51,3.51,70.76,19.46,7.42,106.11,84.25,78.37,43.51,88.42,29.08,95.65,84.92,38.77,18.86,88.39,94.4,28.61,2.88,26.41,8.12,2.57,1.68,87.76,79.9,1100.0,0.61,2.92,71.63,37.76,18.82,2.22,20.11,6.8,0.57,56.05,1.25,9.63,58.26,3.84,10.63,31.42,36.21,0.57,8.12,16.58,98.91,26.83,98.82,99.84,0.36,0.03,5.99,13.05,1.59,1.74,3578.0,0.0
2020-04-01,PARNAMIRIM,11,74.52,1.62,40.42,4.67,10.24,3.71,3.32,73.46,19.07,7.4,101.48,76.07,76.08,48.47,89.84,32.86,97.44,85.0,37.07,17.31,91.89,97.47,25.93,2.96,24.75,6.01,2.82,1.65,89.15,80.59,1190.0,0.55,2.68,78.76,37.34,20.03,2.05,20.51,7.58,0.91,54.9,0.87,9.24,58.72,3.92,9.95,21.05,41.06,0.48,12.42,17.47,98.66,24.24,98.81,99.89,0.12,0.25,7.61,13.27,0.99,1.53,580.0,0.0
2020-04-01,PASSA E FICA,1,70.79,2.12,53.77,9.68,9.24,10.05,16.79,72.71,19.49,1.88,104.83,66.38,44.63,10.52,87.63,25.78,94.56,77.8,27.1,11.77,97.52,100.0,32.69,8.01,14.89,9.34,1.58,0.0,83.14,56.87,400.0,0.51,19.59,54.5,39.39,23.73,1.26,9.33,6.14,0.0,32.2,0.9,5.71,50.13,9.93,11.76,24.66,30.55,0.44,4.89,40.62,87.26,34.75,99.03,98.64,1.83,0.0,4.25,18.02,0.64,6.88,86.0,4345.0
2020-04-01,SÃO GONÇALO DO AMARANTE,1,74.72,2.03,48.44,5.28,9.18,7.0,6.19,66.93,20.32,7.14,102.86,58.17,83.45,14.25,84.62,20.4,95.05,82.1,31.54,16.88,83.56,93.86,34.61,5.74,19.51,8.93,1.57,0.32,80.82,67.0,523.33,0.44,6.05,74.93,33.13,15.77,0.48,16.27,10.45,1.08,41.46,1.03,19.27,52.09,2.79,12.38,25.55,36.86,0.2,5.37,19.65,97.0,34.71,92.35,99.63,1.3,0.0,6.28,20.76,2.19,3.57,330.0,13569.0
